final_rank,final_tier,project_id,project_name,project_name_en,list_type,category,quadrant,quadrant_label,stock_band,scale_video_count_best,scale_video_count_tier,likely_reach_tier_final,likely_reach_tier_statistical,likely_total_play,statistical_likely_total_play,final_likely_total_play,audit_adjusted_likely_total_play,final_reach_display_note,audit_adjusted_note,likely_unique_videos,low_relevance_play_ratio,reach_noise_risk,raw_to_likely_tier_delta,manual_reviewed_rows,manual_related_rows,manual_uncertain_rows,manual_unrelated_rows,manual_changed_rows,manual_audit_verdict,previous_quadrant,manual_corrected_quadrant_changed,manual_reach_play_delta,review_priority,interpretation,headline_claim,top_likely_url,top_likely_play,top_likely_desc,top_noise_url,top_noise_play,top_noise_desc
30,T4_near_invisible_noise_checked,10,中国皮影戏,Chinese shadow puppetry,RL,表演艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,935,near_invisible,lower_70_90pct_reach,lower_70_90pct_reach,13264017,13264017,13264017,13264017,statistical row-level likely play; no additional project-level audit adjustment,,163,0.9527,high,-2,14,6,0,8,3,,stock_low__reach_low,False,0,P0_noise_or_tier_drop,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,中国皮影戏 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@pandatalk_/video/7017719800428285185,3300000,An art of using shadows-Chinese shadow puppetry!#china #foryou #fyp #tiktok #shadow,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,62900000,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡
31,T4_near_invisible_noise_checked,20,西安鼓乐,Xi'an wind and percussion ensemble,RL,表演艺术(音乐),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,9,near_invisible,middle_40_70pct_reach,middle_40_70pct_reach,10852555,10852555,10852555,10852555,statistical row-level likely play; no additional project-level audit adjustment,,52,0.9836,high,-2,10,0,0,10,5,,stock_low__reach_low,False,-14200000,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,西安鼓乐 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@joejun0/video/7343513140216237313,3300000,"🇲🇾 2024 新山福州十邑会馆舞龍队 鼓乐篇 可爱的是那个女孩 打一下拔头发飞一下🤣🤣🤣凉爽 哈哈哈 其实有一幕小姐姐笑起来真好看😍 Drum music The cute thing is that girl. Hit it and pull out her hair and it will fly🤣🤣🤣It’s cool, hahaha In fac…",https://www.tiktok.com/@thedrumpath/video/7397040267813080336,67200000,Beggin’ - Måneskin #tiktok #tiktokviral #viral #tiktokviralvideo #viraltiktok #drums #drummer #drumcover #music #songs
32,T4_near_invisible_noise_checked,9,赫哲族伊玛堪,Hezhe Yimakan storytelling,USL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,17,near_invisible,lower_70_90pct_reach,lower_70_90pct_reach,8230401,8230401,8230401,8230401,statistical row-level likely play; no additional project-level audit adjustment,,59,0.9661,high,1,10,0,0,10,5,,stock_low__reach_low,False,-7300000,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,赫哲族伊玛堪 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@zhezhehe/video/7568091124795985160,749600,With @cigwpols #xuhuong #viral #theapothecarydiaries,https://www.tiktok.com/@mayilong0/video/7166206744530570497,22000000,"#ftx #dogecoin #elonmusk #tesla Really want to slap you both in the face. So many people put their trust in you, only to let them down."
33,T4_near_invisible_noise_checked,43,新疆维吾尔木卡姆艺术,Uyghur Muqam of Xinjiang,RL,表演艺术(音乐),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_mid,7108,long_tail,lower_70_90pct_reach,lower_70_90pct_reach,6692744,6692744,6692744,6692744,statistical row-level likely play; no additional project-level audit adjustment,,86,0.9495,high,1,12,1,0,11,4,,stock_low__reach_low,False,-2900000,P0_noise_or_tier_drop,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,新疆维吾尔木卡姆艺术 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@fangxiaojieaizhuiju/video/7641792081266035988,1000000,萬桐書決心獨自留守邊疆，執心潛心研習收錄木卡姆珍貴樂曲文化#我們愛追劇 #劇分享 #陸劇 #芳小姐愛追劇,https://www.tiktok.com/@thomastfu/video/7589712529983589653,18000000,#童年回忆
34,T4_near_invisible_noise_checked,41,昆曲,Kun Qu opera,RL,表演艺术(戏曲),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,844,near_invisible,lower_70_90pct_reach,lower_70_90pct_reach,6347962,6347962,6347962,6347962,statistical row-level likely play; no additional project-level audit adjustment,,262,0.9398,high,1,11,0,0,11,6,,stock_low__reach_low,False,-4159100,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,昆曲 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@visitbeijing/video/7617774406609243406,680000,"Kunqu Opera—older than Peking opera, slower, more intricate. The kind of singing where a single phrase can stretch into something unexpected. Our host got up and tried to learn a …",https://www.tiktok.com/@brian.liu1/video/7637255776473517319,24500000,看看【蒲公英的作品】真正的绝活# 戏曲舞台技术技巧 # 台上一分鐘台下#網絡搬運
35,T4_near_invisible_noise_checked,17,中国木拱桥传统营造技艺,Traditional design and practices for building Chinese wooden arch bridges,USL,传统手工艺/建筑,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,13,near_invisible,lower_70_90pct_reach,lower_70_90pct_reach,4076393,4076393,4076393,4076393,statistical row-level likely play; no additional project-level audit adjustment,,188,0.9338,high,1,10,0,1,9,6,,stock_low__reach_low,False,-2929000,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,中国木拱桥传统营造技艺 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@lminghei4/video/7595561107331370270,395600,情，始于廊桥，终于廊桥。爱，融于灵魂，镌刻一生。#此情永不移 #nothingsgonnachangemylove #小提琴 #音乐 #好的音乐总能触动人的心灵,https://www.tiktok.com/@indra.dahal24/video/7642174414309575957,26300000,"mini bridge construction using by mini bricks,cement and wood##miniature #smallcreator #highbridge #construction"
36,T4_near_invisible_noise_checked,28,热贡艺术,Regong arts,RL,传统手工艺/宗教艺术,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,37,near_invisible,lower_70_90pct_reach,lower_70_90pct_reach,3997651,3997651,3997651,3997651,statistical row-level likely play; no additional project-level audit adjustment,,233,0.9799,high,-1,10,0,0,10,5,,stock_low__reach_low,False,-2901800,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,热贡艺术 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@thangka.painting/video/7473271624385662254,455500,"#Thangka handmade painting, #religious art, #Tibetan Thangka",https://www.tiktok.com/@rehome.life/video/7589872995724774670,119400000,"Source factory direct supply, factory craftsmanship, SPC flooring real material.#OEM#EasyInstall #factory#flooring#spc flooring"
37,T4_near_invisible_noise_checked,33,中国朝鲜族农乐舞,Farmers' dance of China's Korean ethnic group,RL,表演艺术(舞蹈),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,41,near_invisible,lower_70_90pct_reach,lower_70_90pct_reach,2671328,2671328,2671328,2671328,statistical row-level likely play; no additional project-level audit adjustment,,85,0.975,high,0,11,0,0,11,6,,stock_low__reach_low,False,-3389200,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,中国朝鲜族农乐舞 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@baannongakin/video/7623707906407468306,341000,รถไฟโทมัสแบบนั่งขับพร้อมราง 🚂🚦 เด็กสามารถนั่งบังคับได้จริง มีเพลงธีมโทมัสแบบออริจินัล เสียงหวีดรถไฟ และมีไฟกะพริบ สมจริง! #ของเล่นเสริมพัฒนาการ #ของเล่นเด็ก #ของเล่น #รถไฟ #รีวิวข…,https://www.tiktok.com/@shunlinainai2/video/7625496809963621654,64800000,#过上了好日子红红火火 #过上了好日子 #农村人的快乐生活 #农村人爱唱歌
38,T4_near_invisible_noise_checked,26,格萨(斯)尔史诗传统,Gesar epic tradition,RL,口头传统/史诗,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,227,near_invisible,lower_70_90pct_reach,lower_70_90pct_reach,1787008,1787008,1787008,1787008,statistical row-level likely play; no additional project-level audit adjustment,,76,0.464,high,-2,10,0,0,10,7,,stock_low__reach_low,False,-1724900,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,格萨(斯)尔史诗传统 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@tehocana3333/video/7558969095731825951,496400,Replying to @yiyi_.gym Busca el video de donde viene este comentario #nesara #gesara #soberano #libre #revelaciones369,https://www.tiktok.com/@nksomin/video/6987630425363565850,48000000,Venom epic moment 😎 #fyp #Venom2018 #Marvel
39,T4_near_invisible_noise_checked,29,藏戏,Xizang opera,RL,表演艺术(戏曲),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,808,near_invisible,bottom_10pct_reach,bottom_10pct_reach,1731170,1731170,1731170,1731170,statistical row-level likely play; no additional project-level audit adjustment,,159,0.9151,high,-2,12,0,0,12,6,,stock_low__reach_low,False,-1792800,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,藏戏 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@theroyalfamilyofbhutan/video/7571090782103276808,200800,"Ashi Yeatso Lhamo, wife of His Royal Highness Gyaltsab Jigme Dorji Wangchuck and elder sister of Her Majesty The Gyaltsuen 💛🐉🇧🇹🙇‍♀️💐 #royalfamily #royalfamilyofbhutan #ashiyeatsho…",https://www.tiktok.com/@laranaa8/video/7618553054584917261,29500000,
40,T4_near_invisible_noise_checked,5,藏医药浴法,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Xizang people in China",RL,传统医药,stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,256,near_invisible,bottom_10pct_reach,bottom_10pct_reach,1011447,1011447,1011447,1011447,statistical row-level likely play; no additional project-level audit adjustment,,121,0.9873,high,-1,11,1,0,10,4,,stock_low__reach_low,False,-344800,P0_noise_or_tier_drop,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,藏医药浴法 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@cleo_abrahams/video/7126331545304059137,282900,This ancient tibetan medicine massage helped me with my insomnia 💆‍♀️ #asmr #massage #tibetanmassage #headmassage #insomnia,https://www.tiktok.com/@69scorpionqueen/video/7058758162630872322,38400000,#сафарова #питер
41,T4_near_invisible_noise_checked,8,福建木偶戏,Strategy for training coming generations of Fujian puppetry practitioners,GSP,保护实践(木偶戏),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,315,near_invisible,bottom_10pct_reach,bottom_10pct_reach,589865,589865,589865,589865,statistical row-level likely play; no additional project-level audit adjustment,,59,0.9541,high,-2,13,3,0,10,7,,stock_low__reach_low,False,-846600,P0_noise_or_tier_drop,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,福建木偶戏 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@goodlivinginchina/video/7614505628744043832,425900,🖐️Discover #Fujian's intangible cultural heritage: the #Budaixi glove puppet show! A master with 20 years of performing experience shows his amazing finger skills. Melinda and Aru…,https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,62900000,论戏精小猫如何出片 #街头摄影 #这个世界不能没有小猫 #领先烘焙猫粮 #领先猫粮 #领先羊奶鸡
42,T4_near_invisible_noise_checked,19,侗族大歌,Grand song of the Dong ethnic group,RL,表演艺术(音乐),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,10,near_invisible,bottom_10pct_reach,bottom_10pct_reach,148748,148748,148748,148748,statistical row-level likely play; no additional project-level audit adjustment,,59,0.9863,high,-1,10,0,0,10,5,,stock_low__reach_low,False,-149500,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,侗族大歌 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@unknowncultures/video/7032437244807875846,31000,竹竿舞 #苗族 #瑶族 #黎族 #佤族 #侗族 #竹竿舞 #贵州 #少数民族 #民族服饰 #中国 #miaozu #hmong #yaozu #mienh #lizu #wazu #dongzu #china #bamboodance #dongpeople #wapeople #hmongb,https://www.tiktok.com/@germangents/video/7545888844516822294,97600000,Dame Un Grrr😏💅 #dameungrrr #suits #cringe #acappella #germangents
43,T4_near_invisible_noise_checked,32,花儿,Hua'er,RL,表演艺术(民歌),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,166,near_invisible,bottom_10pct_reach,bottom_10pct_reach,71167,71167,71167,71167,statistical row-level likely play; no additional project-level audit adjustment,,53,0.9751,high,-1,10,0,0,10,5,,stock_low__reach_low,False,-310100,P0_manual_false_breakout,低存量低触达，且人工/噪声核查显示热门 raw 信号多不可靠。,花儿 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@lin_cen_ling/video/7649013595753172242,9629,歌曲：花儿开花儿落 #歌曲花儿开花儿落 #花儿开花儿落 #神级现场 #Chinesesongs #bestchinesesongs,https://www.tiktok.com/@bob485518/video/7587698504424852749,20700000,what did i do to bro 😭
44,T4_near_invisible,25,粤剧,Yueju opera,RL,表演艺术(戏曲),stock_low__reach_low,低存量低触达：近乎隐形候选,stock_low,289,near_invisible,middle_40_70pct_reach,middle_40_70pct_reach,40755989,40755989,40755989,40755989,statistical row-level likely play; no additional project-level audit adjustment,,114,0.4862,medium,0,7,1,1,5,4,,stock_low__reach_low,False,27700000,P3_normal,低存量低触达，当前跨平台可见性弱。,粤剧 当前呈低存量低触达，接近隐形或被噪声掩盖。,https://www.tiktok.com/@maisieding6688/video/7159021562836913454,27700000,Emergency change makeup #fy #fyp #foryou #foryoupage #opera #pekingopera #china #chineseculture,https://www.tiktok.com/@selfwho0/video/7495059041585089835,18900000,Madness or heartbreak? Hu Shi’s breakdown in The Auspicious Mirror of the Universe. 🎭💔 #TheAuspiciousMirror #HuShi #ChineseOpera #PekingOpera #EmotionalBreakdown #TraditionalTheat…
